OfferDetails,Products
"Save $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).","['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']"
"SAVE $1.00 ON TWO when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, *",['flavor/variety betty crocker™ fruit shapes']
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,"['frigo® cheese heads® 8ct', 'snack cheese product']"
Save $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,"['pace® salsa', 'picante sauce']"
$1.00 OFF on any THREE (3) noosa® yoghurts,['noosa® yoghurts']
Save $1.00 on any ONE (1) Gardein™ Frozen Item,['gardein™ frozen item']
"Save $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
Save $0.50 on any ONE (1) pack of Energizer® Batteries,['energizer® batteries']
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety","['purina® beggin®', 'dentalife® dog treats']"
"Save $0.50 on any one (1) Pine-Sol® product, 40oz+",['pine-sol® product']
SAVE $1.00 ON ONE when you buy ONE PACKAGE any flavor/variety Cascadian Farm™ Cereal or Granola,['flavor/variety cascadian farm™ cereal']
SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,['crunchy crunchmaster® crackers']
Save $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']"
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,"['happy baby organics', 'happy tot organics pouches']"
Save $1.00 on any ONE (1) Udi's® Frozen Item,"[""udi's® frozen item""]"
"Save $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)","['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']"
"Save $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).","['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']"
"$1.00 OFF on any ONE (1) Tillamook® Ice Cream Product, 56 oz.",['tillamook® ice cream product']
"Save $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)","['benadryl® 20ct', '4oz product']"
"Save $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).","['oral-b glide', 'manual floss', 'interdental brush']"
"$1.00 OFF TWO (2) Atkins® Bars, Shakes or Treats",[]
Save $1.00 ONE Prilosec OTC Product.,['prilosec otc product']
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips","['’ s chocolate', 'chocolate candy']"
"Save $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).","['laundry detergent', 'era laundry detergent', 'tide detergent', 'tide pods']"
Save $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,[]
"Save $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).","['tampax pearl', 'pure tampons']"
"Save $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",['adult zyrtec® product']
"Save $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).","['pure cotton', 'maxi pads']"
"SAVE 55¢ on any ONE (1) OFF!® Product&nbsp;(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)","['® product', '® products']"
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)","['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']"
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,"['multipack sheba®', 'perfect portions™ premium cat food']"
"Save $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).","['crest gum detoxify', 'enamel repair']"
"Get $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",['pull-ups® training pants']
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product","['allegra® allergy 24ct', ""children 's allegra® product""]"
"Save $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain ultra flings', 'gain liquid/powder laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
"Save $2.00 ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide purclean laundry detergent', 'tide laundry detergent', 'tide detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']"
"$2.00 OFF ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins, Coffee with Golden Turmeric, or Coffee with 2X Caffeine Product","['starbucks® k-cup® coffee', 'essential vitamins', 'golden turmeric', '2x caffeine product']"
"Save $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",[]
Save $2.00 ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,"['dreft blissfuls', 'scent boosters']"
Save $3.00 ONE (1) Nexium® 24HR 28ct or larger,['nexium® 24hr 28ct']
Save $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),['aleve®pm product 40ct']
"Save $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).","['discreet incontinence product', 'discreet boutique']"
$1.50 Off any ONE (1) Mighty Spark All-Natural Poultry Patties or Ground Chicken,"['all-natural poultry patties', 'ground chicken']"
Save $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),['disposable swimpants']
"Save $2.00 ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).","['tide antibacterial spray', 'tide stain pen', 'tide rescue', 'tide laundry detergent', 'tide pods']"
"Save $3.00 on any ONE (1) package of POISE® Ultra Thin Pads or Active Collection® Pads or Liners (Reg Pack only) (Not valid on other Poise® Pads, Liners or Impressa® Products)","['poise® ultra', 'thin pads', 'active collection® pads', 'reg pack', 'poise® pads', 'impressa® products']"
Get $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),['pull-ups® training pants']
Save $2.00 ONE Venus Razor (excludes disposables).,['venus razor']
"Save $1.00 ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)","['tide detergent', 'tide pods']"
Save $8.00 on ONE (1) Claritin® Tabs or Liqui-Gels® 60ct or larger,"['claritin® tabs', 'liqui-gels® 60ct']"
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),['colgate® optic white® renewal toothpaste']
SAVE $0.75 on ONE (1) Sabra® Dark Chocolate Dessert Dip &amp; Spread,['dark chocolate dessert dip']
$1.50 OFF on ONE (1) pint of N!ck's Ice Cream,"[""ck 's ice cream""]"
Save $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,"[""children 's claritin® syrup 4oz""]"
SAVE 55¢ on any ONE (1) Raid® Essential Oils Product&nbsp;(Excludes Raid® Club Packs and Twin Packs),"['essential oils product', 'raid® club']"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),['osteo bi-flex® product']
Save $3.00 ONE Always DISCREET Boutique Product (excludes other Always Products and trial/travel size).,['discreet boutique product']
SAVE $0.75 on ONE (1) Sabra® Veggie Dip,['sabra® veggie dip']
SAVE $3.00 on any ONE (1) Florastor product,['florastor product']
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,"[""reser 's deli sides 12-14oz item""]"
"Save $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",['nutro™ wholesome essentials™ dry cat food bag']
Save $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,"['oral-b vitality', 'rechargeable electric toothbrush']"
"Save $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",['olay facial moisturizer']
Save $1.00 ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,['burts bees adult toothpaste']
Save $4.00 ONE Venus Blade Refill (4 ct or larger).,['venus blade refill']
"Save $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).","['high endurance', 'body spray', 'invisible spray']"
Save $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,['olay facial cleanser']
Save $0.75 ONE Burts Bees Kids Toothpaste (excludes trial/travel size).,['burts bees kids toothpaste']
Save $4.00 ONE Gillette Blade Refill (4 ct or larger).,['gillette blade refill']
Save $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,['venus products']
"Save $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).","['gillette razor', 'venus products']"
"$5 1 Hot Bar Entree, 2 Sides, 1 Roll",[]
SAVE $1.00 on any TWO (2) Sargento® Natural Cheese Slices,['natural cheese slices']
SAVE $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,"['pace® salsa', 'picante sauce']"
FREE SEG MAC & CHEESE when you buy any two (2) SPAM® 12oz products and get TWO (2) FREE SEG MAC &amp; CHEESE (Max. Value $1.50),"['free seg mac', 'spam® 12oz products', 'free seg mac', 'value $']"
"SAVE $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
"SAVE $1.00 ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).","['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']"
"SAVE $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']"
$2.00 OFF any TWO (2) Starbucks® Nitro Cold Brew (9.6 oz can) or Starbucks® Frappucino (13.7 oz bottle) - mix and match,"['starbucks® nitro', 'cold brew', 'starbucks® frappucino', 'oz bottle']"
"SAVE $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)","['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']"
"SAVE $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).","['pure cotton', 'maxi pads']"
"SAVE $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).","['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']"
SAVE $0.50 on any ONE (1) pack of Energizer® Batteries,['energizer® batteries']
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,"['frigo® cheese heads® 8ct', 'snack cheese product']"
"SAVE $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).","['high endurance', 'body spray', 'invisible spray']"
"SAVE $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).","['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']"
"SAVE $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).","['tampax pearl', 'pure tampons']"
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)","['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']"
$1.00 OFF on any THREE (3) noosa® yoghurts,['noosa® yoghurts']
"SAVE $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).","['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']"
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety","['purina® beggin®', 'dentalife® dog treats']"
SAVE $1.00 on any TWO (2) boxes of Life cereal,['life cereal']
SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,['crunchy crunchmaster® crackers']
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,"['happy baby organics', 'happy tot organics pouches']"
"SAVE $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).","['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']"
"SAVE $0.50 on any one (1) Pine-Sol® product, 40oz+",['pine-sol® product']
"$0.25 OFF ONE (1) package of Keebler® Caramel Nut Dreams, Coconut Dreams, Strawberry Shortcake, or Hot Fudge Sundae cookies","['keebler® caramel nut dreams', 'coconut dreams', 'strawberry shortcake', 'hot fudge sundae cookies']"
"SAVE $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).","['oral-b glide', 'manual floss', 'interdental brush']"
"SAVE $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)","['benadryl® 20ct', '4oz product']"
"GET $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",['pull-ups® training pants']
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,"[""reser 's deli sides 12-14oz item""]"
SAVE $1.00 on any one (1) El Monterey® Single Serve Meals,['el monterey® single']
"SAVE $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).","['discreet incontinence product', 'discreet boutique']"
SAVE $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,['venus products']
"SAVE $0.50 On any ONE (1) GOOD FOODS Guacamole, Plant-based Dip, Dairy Dip, or Salsa","['good foods guacamole', 'dairy dip']"
SAVE $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),['aleve®pm product 40ct']
"SAVE $1.00 on any ONE (1) Cheez-It® Baked Snack Crackers Caddy Pack (20 ct. or Larger, Any Flavor)",['snack crackers caddy pack']
"SAVE $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).","['laundry detergent', 'era laundry detergent', 'tide detergent', 'tide pods']"
"SAVE 55¢ on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)","['® product', '® products']"
SAVE $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,[]
SAVE $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,['olay facial cleanser']
SAVE $1.00 ONE Prilosec OTC Product.,['prilosec otc product']
SAVE $4.00 ONE Gillette Blade Refill (4 ct or larger).,['gillette blade refill']
"SAVE $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain ultra flings', 'gain liquid/powder laundry detergent', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
GET $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),['pull-ups® training pants']
"SAVE $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).","['crest gum detoxify', 'enamel repair']"
"SAVE $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).","['gillette razor', 'venus products']"
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips","['’ s chocolate', 'chocolate candy']"
"SAVE $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",['adult zyrtec® product']
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product","['allegra® allergy 24ct', ""children 's allegra® product""]"
SAVE $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']"
"BUY ONE GET ONE FREE on any ONE (1) bag of Flavors of America by Eight O'Clock®, Any variety 11oz.",['variety 11oz']
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,"['multipack sheba®', 'perfect portions™ premium cat food']"
"SAVE $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",['olay facial moisturizer']
SAVE $2.00 ONE Venus Razor (excludes disposables).,['venus razor']
"SAVE $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",[]
SAVE $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),['disposable swimpants']
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),['osteo bi-flex® product']
SAVE $3.00 ONE (1) Nexium® 24HR 28ct or larger,['nexium® 24hr 28ct']
SAVE $4.00 ONE Venus Blade Refill (4 ct or larger).,['venus blade refill']
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),['colgate® optic white® renewal toothpaste']
SAVE $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,"[""children 's claritin® syrup 4oz""]"
"SAVE $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",['nutro™ wholesome essentials™ dry cat food bag']
SAVE $3.00 on any ONE (1) Florastor product,['florastor product']
SAVE $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,"['oral-b vitality', 'rechargeable electric toothbrush']"
Any Open Nature Product of $1 or more.Limit 1 item.,['open nature product']
Any Bakery Department Purchase of $1 or more.Limit 1 item.,['bakery department purchase']
Any Frozen Aisle Purchase of $1 or more.Limit 1 item.,['frozen aisle purchase']
Any Produce Department Purchase of $1 or more.Limit 1 item.,['department purchase']
Golden Ripe Bananas PLU 4011 Per lb. Excludes Organic.,['golden ripe bananas plu']
"Signature SELECT refreshe Water 24-pack, 16.9-oz. +CRV.",['select refreshe water 24-pack']
Calidad Tortilla Chips 12 to 14-oz.,['calidad tortilla chips']
Chobani Greek Yogurt 5.3-oz.,['chobani greek yogurt 5.3-oz']
Lucerne Shredded Cheese 6 to 8-oz.,[]
Lucerne Butter 16-oz.,['lucerne butter 16-oz']
Mission Super Size Yellow Corn Tortillas 24-ct.,['super yellow corn tortillas 24-ct']
Barilla Pasta 12 to 16-oz. Excludes Plus Pasta and Gluten Free.,['barilla pasta']
$1 Off Your Purchase of $1 or More *Standard exclusions apply.,['*standard exclusions']
Visa® Gift Cards When you buy $100 or more in Visa® gift cards. Limit 1 per...,"['visa® gift cards', 'visa® gift cards']"
Signature Farms Romaine Hearts 3-ct. Limit 1.,['signature farms romaine hearts 3-ct. limit']
Fresh Cravings Dip 8-10-oz. Limit 1.,['fresh cravings dip 8-10-oz']
"Litehouse® Buy ONE (1) Litehouse® Organic Dressing(11.25 oz), get ONE...",['litehouse® organic']
Caspers Franks 16-oz. Limit 4.,['caspers franks 16-oz']
Aidells Gourmet Chicken Sausage or Aidells meatballs. 12-oz. Limit 2 items.,"['aidells gourmet chicken sausage', 'aidells meatballs']"
Signature Farms 80% Lean Ground Beef Mega-pack. Limit 1.,"['signature farms', 'lean ground beef mega-pack']"
Plated Meal Kits 22.2-32.5-oz.,['meal kits 22.2-32.5-oz']
